County,Facility Name,IPSL/MFL,TX CURR
Kiambu,Mangu (AIP) Dispensary,10019,343
Kiambu,Anmer Dispensary,10029,24
Nyandarua,Baari Health Centre,10043,78
Nyandarua,Bamboo Health Centre,10044,279
Kirinyaga,Baricho Health Centre,10049,157
Nyeri,Bellevue Health Centre,10055,150
Kiambu,Beta Care Nursing Home,10058,87
Kiambu,Boores Clinic,10074,40
Kiambu,Cianda Dispensary,10097,27
Nyeri,Consolata Mission Hospital (Mathari),10100,1169
Kirinyaga,Difathas Health Centre,10110,268
Nyeri,Endarasha Rural Health Centre,10170,212
Nyandarua,Engineer District Hospital,10171,678
Laikipia,GK Prison Dispensary (Thompson Falls),10189,42
Kiambu,Gachege Dispensary,10194,68
Kiambu,Gachika Dispensary,10195,1
Murang'a,Gaichanjiru Hospital,10199,195
Kiambu,Gakoe Health Centre,10202,179
Nyeri,Gatei Dispensary,10210,104
Kirinyaga,Gathambi Dispensary,10213,29
Kiambu,Gathanga Dispensary,10214,113
Kirinyaga,Gathigiriri Dispensary,10217,47
Kirinyaga,Gatithi Dispensary,10221,76
Kiambu,Gatundu District Hospital,10233,1449
Kiambu,Gatunyu Dispensary,10234,223
Kiambu,Gatura Healh Centre,10236,379
Kirinyaga,Gatwe Dispensary,10239,6
Kiambu,Gawa Medical Clinic,10240,22
Nyandarua,Geta Bush Health Centre,10244,130
Kiambu,Giathanini Dispensary,10248,3
Nyeri,Gichiche Health Centre,10249,216
Nairobi County,Maisha House-NOSET,10250,41
Nyeri,Gichira Health Centre,10251,224
Kiambu,Gichuru Dispensary,10252,215
Murang'a,Gikui Health Centre,10256,94
Kiambu,Gitare Health Centre (Gatundu),10257,155
Kiambu,Githiga Health Centre,10263,185
Murang'a,Githumu Hospital,10267,346
Kiambu,Githunguri Health Centre,10269,746
Murang'a,Gitugi Dispensary (Muranga North),10279,4
Nyeri,GK Prison Dispensary (Kingongo),10286,71
Murang'a,GK Prison Dispensary (Murang'a),10287,103
Kiambu,Gsu Dispensary (Ruiru),10304,1
Nyandarua,Heni Health Centre,10312,71
Kiambu,Igegania Sub-District Hospital,10338,572
Nyeri,Ihururu Health Centre,10340,2
Kiambu,Immaculate Heart of Mary Hospital,10349,357
Nyeri,Island Farms Dispensary,10355,106
Kiambu,Ithanga Dispensary,10357,463
Nyeri,Jamii Hospital,10368,128
Kiambu,Jkuat Hospital,10378,620
Kiambu,Juja Farm Health Centre,10386,132
Kirinyaga,Kabare Health Centre,10388,123
Kiambu,Kagaa Dispensary,10394,14
Kirinyaga,Kagio Catholic Dispensary (Mary Immucate Catholic,10398,275
Kirinyaga,Kagio Nursing Home (Kagio),10399,52
Kirinyaga,Kagumo Dispensary,10402,212
